Slope,water bodies,avg rainfall,soil type,washout
300,4,1200,1,yes
200,5,1142,1,yes
337,0,1498,3,no
56,1,1126,1,no
202,3,815,1,no
307,1,907,1,no
351,3,1375,2,no
460,4,1054,1,no
355,4,795,1,no
277,0,886,3,no
347,3,1307,3,no
467,0,777,3,no
497,5,1247,2,no
175,5,957,2,no
154,0,862,3,no
169,0,759,1,no
346,5,853,3,no
301,3,1354,1,no
301,4,886,3,no
198,0,1233,2,no
363,0,1409,3,no
431,5,867,3,no
133,2,788,1,no
265,0,827,1,no
418,0,1106,1,no
250,3,850,1,yes
360,2,1227,2,no
315,5,974,3,no
459,2,771,3,no
247,5,1053,3,no
227,0,1311,1,no
200,0,1133,2,no
458,5,751,2,no
442,2,1478,1,no
241,2,992,3,no
159,1,1427,1,no
451,2,981,3,no
309,5,1081,1,no
156,1,1319,2,no
175,3,1206,3,no
55,0,1209,2,no
290,0,1382,3,no
332,4,1462,3,no
209,5,785,3,no
122,3,1135,3,no
424,4,1120,2,yes
292,3,1398,2,no
407,5,911,3,no
111,5,933,2,no
93,1,1279,1,yes
485,1,980,2,no
485,4,1347,3,no
186,5,990,1,no
402,2,1323,1,no
138,0,1088,3,no
129,3,1083,2,yes
199,5,1275,2,no
354,5,1309,1,no
421,0,1265,2,no
287,4,1029,3,yes
64,0,1229,3,no
203,2,1178,1,no
382,4,1090,3,no
170,3,886,3,yes
342,4,890,1,no
426,4,930,3,no
54,0,807,1,no
476,4,1226,2,no
136,3,1158,1,no
89,3,1368,2,no
85,5,964,1,no
73,3,1029,3,no
138,5,892,3,no
179,4,1305,1,no
432,1,1056,1,no
159,4,1318,3,yes
418,3,819,3,no
351,3,769,1,no
155,0,1077,1,no
419,0,1174,2,no
433,1,1353,2,no
279,0,904,1,no
382,2,834,2,yes
375,4,917,3,no
388,1,968,3,no
461,0,1444,2,no
487,3,1231,2,no
244,2,1279,2,no
405,1,834,1,no
482,3,1398,3,no
208,4,1420,2,no
254,0,984,3,no
162,3,829,1,no
306,3,1115,1,no
77,4,806,1,no
343,1,1344,2,no
357,1,1326,2,yes
448,0,798,3,no
81,4,1075,1,no
338,1,1200,1,no
